gensp,fileName,fileLocation,sampLocation,value,signif
Tetragnatha brevignatha,"Brevignatha_allo_arlequin.arp, Brevignatha_CO1_arlequin_Kipukas.arp, Brevignatha_CO1_arlequin_withinHI.arp",Rosie_spiders,MaunaKea,,
Tetragnatha brevignatha,"Brevignatha_allo_arlequin.arp, Brevignatha_CO1_arlequin_Kipukas.arp, Brevignatha_CO1_arlequin_withinHI.arp",Rosie_spiders,MaunaLoa-noSaddle,,
Tetragnatha brevignatha,"Brevignatha_allo_arlequin.arp, Brevignatha_CO1_arlequin_Kipukas.arp, Brevignatha_CO1_arlequin_withinHI.arp",Rosie_spiders,ML-Saddle,0,1
Tetragnatha brevignatha,"Brevignatha_allo_arlequin.arp, Brevignatha_CO1_arlequin_Kipukas.arp, Brevignatha_CO1_arlequin_withinHI.arp",Rosie_spiders,Saddle,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,Haleakala,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,Hualali,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,Kilauea,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,Kohala,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,MaunaKea,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,MaunaLoa-noSaddle,,
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,ML-Saddle,0.06124,0.1
Tetragnatha quasimodo,"Quasimodo_CO1_arlequin_Kipukas.arp, Quasimodo_CO1_arlequin_withinHI.arp",Rosie_spiders,Saddle,,
Theridion grallator,Croucher Evolution,Croucher,Haleakala,0.2688,0.001
Theridion grallator,Croucher Evolution,Croucher,Hualali,,
Theridion grallator,Croucher Evolution,Croucher,Kilauea,,
Theridion grallator,Croucher Evolution,Croucher,Kohala,,
Theridion grallator,Croucher Evolution,Croucher,MaunaKea,,
Theridion grallator,Croucher Evolution,Croucher,MaunaLoa-noSaddle,,
Theridion grallator,Croucher Evolution,Croucher,ML-Saddle,0.05,0.001
Theridion grallator,Croucher Evolution,Croucher,Saddle,,
Trioza HB,TriozaHB.arp,Diana_psyllids,Haleakala,,
Trioza HB,TriozaHB.arp,Diana_psyllids,Hualali,,
Trioza HB,TriozaHB.arp,Diana_psyllids,Kilauea,,
Trioza HB,TriozaHB.arp,Diana_psyllids,Kohala,0.40993,0.1
Trioza HB,TriozaHB.arp,Diana_psyllids,MaunaKea,0.79506,0.001
Trioza HB,TriozaHB.arp,Diana_psyllids,MaunaLoa-noSaddle,,
Trioza HB,TriozaHB.arp,Diana_psyllids,ML-Saddle,0.90827,0.05
Trioza HB,TriozaHB.arp,Diana_psyllids,Saddle,,
Trioza HC,col3HC.arp,Diana_psyllids,Haleakala,,
Trioza HC,col3HC.arp,Diana_psyllids,Hualali,,
Trioza HC,col3HC.arp,Diana_psyllids,Kilauea,,
Trioza HC,col3HC.arp,Diana_psyllids,Kohala,0.8125,1
Trioza HC,col3HC.arp,Diana_psyllids,MaunaKea,,
Trioza HC,col3HC.arp,Diana_psyllids,MaunaLoa-noSaddle,,
Trioza HC,col3HC.arp,Diana_psyllids,ML-Saddle,0.57852,0.1
Trioza HC,col3HC.arp,Diana_psyllids,Saddle,,
