"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,16.3000000,11.2250000,21.0000000,-2.36917773,-3.95364212,-0.55577129, 45
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,12.3000000, 8.2250000,16.0000000,-2.41515407,-3.95745687,-1.05871604, 45
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,15.2400000,11.0000000,19.0000000,-2.64491599,-4.25941976,-1.04841160, 45
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,17.3200000,13.0000000,22.0000000,-1.82817562,-3.59439357,-0.23073349, 45
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,11.0644536, 5.7957239,16.8544131, 7.82931272, 2.86165960,12.96032991, 45
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,11.1184321, 3.9134575,16.7135214, 6.15240566,-0.12952841,10.32470470, 45
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.9472668, 4.7047077,15.7341262, 6.70487955,-0.05687281,12.42258410, 45
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 7.2069086, 2.3920777,16.0397383, 2.97521851,-1.95694762, 9.87167389, 45
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6605306, 0.5809236, 0.7377002,-5.98939251,-8.57761134,-3.74564524, 60
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6597696, 0.5758871, 0.7378895,-5.41654643,-8.41232779,-2.72970190, 60
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6997909, 0.6211990, 0.7873807,-2.75864602,-6.22510772, 0.02991852, 60
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7409692, 0.6137474, 0.8700943,-2.30288694,-7.73599957, 2.86437963, 60
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6437633, 0.5614820, 0.7331751,-4.79487226,-7.67593582,-2.29611584, 60
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6481417, 0.5435167, 0.7280283,-4.67310163,-7.17167705,-2.00667789, 60
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6914048, 0.6104798, 0.7763709,-1.62505088,-4.69831020, 0.56794266, 60
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7289771, 0.5779162, 0.8659196,-1.91987150,-7.30751567, 2.90645164, 60
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,16.9200000,13.2250000,21.7750000,-2.31470351,-3.59875627,-0.32307073, 60
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,13.5600000, 9.2250000,17.0000000,-2.40223446,-4.06604287,-0.95918517, 60
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,17.1600000,14.0000000,21.0000000,-1.86714566,-3.09714300,-0.35667801, 60
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,19.6600000,14.4500000,24.0000000,-1.63440541,-3.24042876,-0.11522494, 60
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,19.5000000,14.0000000,25.7750000,-2.54732997,-4.16545043,-1.03097744, 60
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,14.2400000,11.0000000,19.0000000,-2.81066927,-4.04458630,-1.33626508, 60
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,17.7400000,13.2250000,22.7750000,-3.14342628,-4.50625168,-2.03252339, 60
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,21.1200000,14.2250000,28.0000000,-2.32626084,-4.31108909,-0.53111155, 60
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,11.2431822, 7.2149138,13.6894177,10.53414742, 7.14910874,15.11217078, 60
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,11.1121286, 7.4162300,14.1239774, 7.87020011, 4.24630085,11.34609406, 60
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.5816146, 5.6046241,14.8472857, 8.32498535, 2.98630117,12.46280249, 60
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 7.4290196, 2.7963631,11.2358074, 4.41355144,-0.50418607, 8.57842330, 60
