"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,16.3000000,11.2250000,21.0000000,-2.37958531,-3.89197557,-0.56022642, 45
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,12.3000000, 8.2250000,16.0000000,-2.39677967,-3.81559759,-1.10842285, 45
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,15.2400000,11.0000000,19.0000000,-2.64522628,-4.18357857,-1.05297504, 45
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,17.3200000,13.0000000,22.0000000,-1.82223122,-3.64161940,-0.17218567, 45
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,11.0644536, 5.7957239,16.8544131, 7.83800293, 2.90947063,13.01589277, 45
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,11.1184321, 3.9134575,16.7135214, 6.08647243,-0.12208747, 9.81558777, 45
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.9472668, 4.7047077,15.7341262, 6.66515573,-0.06081870,12.60951931, 45
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 7.2069086, 2.3920777,16.0397383, 2.99084877,-1.97137463, 9.73546916, 45
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6605306, 0.5809236, 0.7377002,-5.97171116,-8.50338484,-3.77150116, 60
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6597696, 0.5758871, 0.7378895,-5.39650592,-8.14588664,-2.65962787, 60
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6997909, 0.6211990, 0.7873807,-2.75414429,-6.33249779, 0.04211910, 60
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7409692, 0.6137474, 0.8700943,-2.29082439,-7.95134667, 2.97981894, 60
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6437633, 0.5614820, 0.7331751,-4.76982138,-7.60129994,-2.32430790, 60
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6481417, 0.5435167, 0.7280283,-4.67290142,-7.22254651,-2.04678565, 60
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6914048, 0.6104798, 0.7763709,-1.63083648,-4.87061730, 0.56409297, 60
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7289771, 0.5779162, 0.8659196,-1.90928567,-7.62188202, 2.99528120, 60
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,16.9200000,13.2250000,21.7750000,-2.30540409,-3.56330278,-0.29216803, 60
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,13.5600000, 9.2250000,17.0000000,-2.40660898,-4.16270197,-0.91924406, 60
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,17.1600000,14.0000000,21.0000000,-1.85474887,-3.06509928,-0.37233668, 60
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,19.6600000,14.4500000,24.0000000,-1.64350371,-3.22837348,-0.12221267, 60
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,19.5000000,14.0000000,25.7750000,-2.55155664,-4.12007185,-0.99893562, 60
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,14.2400000,11.0000000,19.0000000,-2.82810869,-4.20632071,-1.36444390, 60
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,17.7400000,13.2250000,22.7750000,-3.11380702,-4.46466683,-2.09854414, 60
