Sites,plantName,GRIDCODE,Lat,Long
Haleakala,drymaui,2,20.8000,-156.2340
Haleakala,drysand,2,20.8000,-156.2340
Haleakala,drysubb,2,20.8000,-156.2340
Haleakala,drytetr,2,20.8000,-156.2340
Haleakala,dryunid,2,20.8000,-156.2340
Haleakala,drywall,2,20.8000,-156.2340
Haleakala,dublaxa,2,20.8000,-156.2340
Haleakala,dubline,2,20.8000,-156.2340
Haleakala,dubplan,2,20.8000,-156.2340
Haleakala,dubplat,2,20.8000,-156.2340
Haleakala,dubreti,2,20.8000,-156.2340
Haleakala,dubscab,2,20.8000,-156.2340
Haleakala,dubwaia2,2,20.8000,-156.2340
Haleakala,elaaemu,2,20.8000,-156.2340
Haleakala,elacras2,2,20.8000,-156.2340
Haleakala,elapale,2,20.8000,-156.2340
Haleakala,elaparv,2,20.8000,-156.2340
Haleakala,elapell,2,20.8000,-156.2340
Haleakala,elawawr,2,20.8000,-156.2340
Haleakala,eleobtu,2,20.8000,-156.2340
Haleakala,embpaci,2,20.8000,-156.2340
Haleakala,eragran,2,20.8000,-156.2340
Haleakala,eravari,2,20.8000,-156.2340
Haleakala,eursand,2,20.8000,-156.2340
Haleakala,exogaud,2,20.8000,-156.2340
Haleakala,fimdich,2,20.8000,-156.2340
Haleakala,frachil,2,20.8000,-156.2340
Haleakala,frearbo,2,20.8000,-156.2340
Haleakala,gahbeec,1,20.8000,-156.2340
Haleakala,gerarbo,2,20.8000,-156.2340
Haleakala,gercune,2,20.8000,-156.2340
Haleakala,gerhill,1,20.8000,-156.2340
Haleakala,germult,2,20.8000,-156.2340
Haleakala,graforb,2,20.8000,-156.2340
Haleakala,grahook,2,20.8000,-156.2340
Haleakala,gratene,2,20.8000,-156.2340
Haleakala,gunpeta,2,20.8000,-156.2340
Haleakala,hilsand,2,20.8000,-156.2340
Haleakala,huperos,1,20.8000,-156.2340
Haleakala,huperub,2,20.8000,-156.2340
Haleakala,hupfili,2,20.8000,-156.2340
Haleakala,huphale,2,20.8000,-156.2340
Haleakala,hupmann,2,20.8000,-156.2340
Haleakala,hupstem,2,20.8000,-156.2340
Haleakala,hupsubi,2,20.8000,-156.2340
Haleakala,hymobtu,2,20.8000,-156.2340
Haleakala,hymrecu,2,20.8000,-156.2340
Haleakala,hyphawa,2,20.8000,-156.2340
Haleakala,ileanom,2,20.8000,-156.2340
Haleakala,isadist,2,20.8000,-156.2340
Haleakala,isohawa,1,20.8000,-156.2340
Haleakala,joiasce,2,20.8000,-156.2340
Haleakala,kadacum,2,20.8000,-156.2340
Haleakala,kadaffi,2,20.8000,-156.2340
Haleakala,kadaxil,2,20.8000,-156.2340
Haleakala,kadcent,2,20.8000,-156.2340
Haleakala,kadcord,2,20.8000,-156.2340
Haleakala,kadelat,2,20.8000,-156.2340
Haleakala,keymavi,2,20.8000,-156.2340
Haleakala,korcomp,2,20.8000,-156.2340
Haleakala,korcyli,2,20.8000,-156.2340
Haleakala,korplat,2,20.8000,-156.2340
Haleakala,korremy,2,20.8000,-156.2340
Haleakala,labhedy,2,20.8000,-156.2340
Haleakala,labhirt,2,20.8000,-156.2340
Haleakala,labtini,2,20.8000,-156.2340
Haleakala,labveno,2,20.8000,-156.2340
Haleakala,lacfili,2,20.8000,-156.2340
Haleakala,lelsaff,2,20.8000,-156.2340
Haleakala,leptame,2,20.8000,-156.2340
Haleakala,lepthun,2,20.8000,-156.2340
Haleakala,lipconn,1,20.8000,-156.2340
Haleakala,liphawa,2,20.8000,-156.2340
Haleakala,lobglor,2,20.8000,-156.2340
Haleakala,lobgray,2,20.8000,-156.2340
Haleakala,lobhill,2,20.8000,-156.2340
Haleakala,lobhypo,2,20.8000,-156.2340
Haleakala,luzhawa,2,20.8000,-156.2340
Haleakala,lyccern,2,20.8000,-156.2340
Haleakala,lycvenu,2,20.8000,-156.2340
Haleakala,lyshill,2,20.8000,-156.2340
Haleakala,lyslydg,1,20.8000,-156.2340
Haleakala,lysremy,2,20.8000,-156.2340
Haleakala,macangu,2,20.8000,-156.2340
Haleakala,macmari,2,20.8000,-156.2340
Haleakala,mardoug,2,20.8000,-156.2340
Haleakala,mecrecu,2,20.8000,-156.2340
Haleakala,melball,2,20.8000,-156.2340
Haleakala,melclus,2,20.8000,-156.2340
Haleakala,melelli,2,20.8000,-156.2340
Haleakala,melhale,2,20.8000,-156.2340
Haleakala,melhawa,2,20.8000,-156.2340
Haleakala,melmolo,2,20.8000,-156.2340
Haleakala,melorbi,2,20.8000,-156.2340
Haleakala,meloval,2,20.8000,-156.2340
Haleakala,melpedu,2,20.8000,-156.2340
Haleakala,melpseu,2,20.8000,-156.2340
Haleakala,melsess,2,20.8000,-156.2340
Haleakala,melvolc,2,20.8000,-156.2340
Haleakala,metpoly,2,20.8000,-156.2340
Haleakala,metwaia,1,20.8000,-156.2340
Haleakala,micstri,2,20.8000,-156.2340
Haleakala,morgahn,2,20.8000,-156.2340
Haleakala,myosand,2,20.8000,-156.2340
Haleakala,myremar,2,20.8000,-156.2340
Haleakala,myrlana,2,20.8000,-156.2340
Haleakala,myrless,2,20.8000,-156.2340
Haleakala,myrpuko,1,20.8000,-156.2340
Haleakala,myrsand,2,20.8000,-156.2340
Haleakala,myrvacc,1,20.8000,-156.2340
Haleakala,nepcord,2,20.8000,-156.2340
Haleakala,nepexal,2,20.8000,-156.2340
Haleakala,nergran,2,20.8000,-156.2340
Haleakala,nermela,1,20.8000,-156.2340
Haleakala,nessand,2,20.8000,-156.2340
Haleakala,notlati,2,20.8000,-156.2340
