Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HETEROPTERA,Miridae,,,Heterotoma merioptera,Heterotoma,merioptera,"Scopoli, 1763",adv,no,no,no,no,no,no,KoK,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
HETEROPTERA,Rhopalidae,,,Jadera haematoloma,Jadera,haematoloma,"Herrich-Schaeffer, 1847",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,seed feeder,n.d.,Sapindaceae,na,middle,
HOMOPTERA,Derbidae,,,Lamenia caliginea,Lamenia,caliginea,"Still, 1854",adv,no,no,no,no,no,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Musa sp., Mangifera indica, Morinda citrifolia, Colocasia esculenta, Colocasia gigantea  ","banana, mango, Morinda citrifolia, taro",na,middle,on leaves or stems
HETEROPTERA,Tingidae,,,Leptodictya tabida,Leptodictya,tabida,"Herrich-Schaeffer, 1840",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,herbivorous,Saccharum officinarum,sugarcane,na,middle,
HETEROPTERA,Lygaeidae,,,Ligyrocoris litigiosus,Ligyrocoris,litigiosus,"Still, 1862",adv,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Rhopalidae,,,Liorhyssus hyalinus,Liorhyssus,hyalinus,"Fabricius, 1794",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,herbivorous,"Sida cordifolia, Sonchus oleraceus, Euphorbia cordata",,na,middle,
HETEROPTERA,Miridae,,,Lygus elisus,Lygus,elisus,"Van Duzee, 1914",adv,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,
HOMOPTERA,Delphacidae,,,Megamelus davisi,Megamelus,davisi,"Van Duzee, 1897",adv,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Flatidae,,,Melormenis basalis,Melormenis,basalis,"Walker, 1851",adv,poss,poss,poss,poss,poss,poss,poss,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Flueggea neowawraea, Scaveola taccada,Nicotiana tabacum ",probably many others,na,middle,on leaves or stems
HETEROPTERA,Cydnidae,,,Microporus shiromai,Microporus,shiromai,"Froeschner, 1976",adv,no,no,no,no,no,no,no,,herbivore,herbivore?,n.d.,tend to be crop pests,na,unknown,unknown
