Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HETEROPTERA,Miridae,,,Nesiomiris trinesiotes,Nesiomiris,trinesiotes,"Gagne, 1997",end,no,no,no,no,no,prob not,no,"male 6.45mm, female 6.4 mm",herbivore,family is mostly herbivorous,"Tetraplasandra hawaiiensis gracilis, Tetraplasandra meiandra ramosior, Reynoldsia sandwicensis",,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris fasciatus,Nesiomiris,fasciatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 6.61mm, female 7.21mm",herbivore,family is mostly herbivorous,Tetraplasandra kavaiensis koloana,,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris lihuensis,Nesiomiris,lihuensis,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 7.27mm, female 7.58mm",herbivore,family is mostly herbivorous,Tetraplasandra lihuensis,,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris bifurcatus,Nesiomiris,bifurcatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 5.97mm, female 6.4mm",herbivore,family is mostly herbivorous,Tetraplasandra meiandra,,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris seminotatus,Nesiomiris,seminotatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 5.66mm, female 5.96mm",herbivore,family is mostly herbivorous,Tetraplasandra meiandra,,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris curvatus,Nesiomiris,curvatus,"Gagne, 1997",end,no,no,no,no,no,Hal,no,"male 6.81-7.17mm, female 6.86-7.45mm",herbivore,family is mostly herbivorous,"Tetraplasandra meiandra, Tetraplasandra meiandra ovalis",,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris tetraplasandrae,Nesiomiris,tetraplasandrae,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 7.57mm, female 7.53mm",herbivore,family is mostly herbivorous,Tetraplasandra waimeae,Tetraplasandra sp. (probably waimeae),na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris waimeae,Nesiomiris,waimeae,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 6.5 mm, female 6.6 mm",herbivore,family is mostly herbivorous,Tetraplasandra waimeae waimeae,,na,Tetraplasandra,on leaves or stems
HETEROPTERA,Miridae,,,Nesiomiris restrictus,Nesiomiris,restrictus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
HETEROPTERA,Lygaeidae,,,Nesoclimacias contracta,Nesoclimacias,contracta,"Blackburn, 1888",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nesoclimacias lanaiensis,Nesoclimacias,lanaiensis,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nesocryptias villosa,Nesocryptias,villosa,"White, 1878",end,no,no,no,no,no,no,poss,"male 5.3 mm, female 6.0 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Freycinetia sp., Byronia sp., Myoporum sp.",,na,ground,decaying veg and damp ground litter in forests
HETEROPTERA,Lygaeidae,,,Nesocryptias xiopsis,Nesocryptias,xiopsis,"Usinger & Ashlock, 1959",end,prob not,prob not,prob not,prob not,prob not,prob not,no,"male 5.4mm, female 5.4 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Lygaeidae,,,Nesocryptias comis,Nesocryptias,comis,"Ashlock, 1966",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nesocryptias oahuensis,Nesocryptias,oahuensis,"Usinger & Ashlock, 1959",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nesocryptias adamsoni,Nesocryptias,adamsoni,"Usinger & Ashlock, 1959",end,no,no,no,no,no,no,KoK,"male 5.9 mm, female 6.4 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Osmanthus sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Nesocymus calvus,Nesocymus,calvus,"White, 1881",end,no,no,no,no,no,no,no,female 5mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HOMOPTERA,Delphacidae,,,Nesodryas swezeyi,Nesodryas,swezeyi,"Zimmerman, 1948",end,poss,poss,poss,poss,poss,no,no,5-6mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Pritchardia sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesodryas Freycinetia sp.e,Nesodryas,Freycinetia sp.e,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,"male, female 4-4.5mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Freycinetia sp.,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesolina lineata,Nesolina,lineata,"Osbom, 1935",end,prob not,prob not,no,no,no,no,no,"female 2.75, male 2.25-2.5",herbivore,herbivore,n.d.,"""bunch grass:",na,ground,on leaves or stems
HETEROPTERA,Lygaeidae,,,Nesomartis psammophila,Nesomartis,psammophila,"Kirkaldy, 1907",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne affinis,Nesophrosyne,affinis,"Osbom, 1935",end,poss,poss,Ola,poss,poss,no,no,"female 4mm, male 3.75mm",herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne cinerea,Nesophrosyne,comma,"Osborn, 1935",end,prob not,Kil,prob not,prob not,prob not,no,no,"female 4mm, male 3.5mm",herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne comma,Nesophrosyne,craterigena,"Kirkaldy, 1910",end,prob not,poss,prob not,prob not,prob not,no,no,4.5mm,herbivore,herbivore,"Coprosma sp., Coprosma rhynchocarpa",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne cuprescens,Nesophrosyne,eburneola,"Osbom, 1935",end,Kau,poss,Ola,poss,poss,no,no,female 3.5mm,herbivore,herbivore,"Antidesma platyphyllum, Myoporum sandwicense, Psychotria hawaiiensis",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne eburneola,Nesophrosyne,ehu,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,poss,poss,4mm,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne furculata,Nesophrosyne,giffardi,"Kirkaldy, 1910",end,poss,Kil,poss,poss,prob not,no,no,"female 4.5mm, male 4mm",herbivore,herbivore,Myoporum sandwicense,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne giffardi,Nesophrosyne,giffardi interrupta,"Osborn, 1935",end,poss,Kil,poss,poss,prob not,no,no,"female 4.5mm, male 4mm",herbivore,herbivore,Myoporum sandwicense,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne heopoko,Nesophrosyne,ignigena,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,female 4.75mm,herbivore,herbivore,"Pittosporum longifolia, Pittosporum hosmeri",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne ignigena,Nesophrosyne,imbricola,"Kirkaldy, 1910",end,no,no,no,no,no,prob not,no,,herbivore,herbivore,Myrsine lessertiana,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne imbricola,Nesophrosyne,insularis,"Kirkaldy, 1910",end,poss,poss,Olaa,poss,poss,no,no,4mm,herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne kanawao,Nesophrosyne,koleae,"Kirkaldy, 1910",end,prob not,prob not,prob not,prob not,prob not,no,no,female 4.5mm,herbivore,herbivore,n.d.,"""dry forest""",na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne koleae,Nesophrosyne,mabae,"Osborn, 1935",end,prob not,prob not,prob not,prob not,prob not,no,no,"female 4-5mm, male 4.25mm",herbivore,herbivore,Diospyros sandwicensis,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne mabae,Nesophrosyne,marginalis,"Osborn, 1935",end,prob not,Kil,prob not,prob not,prob not,no,no,"female 4mm, male 4mm",herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne maritima,Nesophrosyne,montium,"Kirkaldy, 1910",end,poss,poss,poss,poss,poss,no,no,"female 4mm, male 3.5mm",herbivore,herbivore,Pipturus albidus,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne milu,Nesophrosyne,montivaga,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,"female 4mm, male 3.75mm",herbivore,herbivore,Pipturus albidus,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne monticola,Nesophrosyne,Myrsine sp.s,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,4.5mm,herbivore,herbivore,"Coprosma pubens, Sadleria sp., Myrsine sp.",,na,"ground, middle",on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne montium,Nesophrosyne,nimbicola,"Kirkaldy, 1910",end,no,no,no,no,no,poss,no,,herbivore,herbivore,Myrsine lessertiana,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne nimbigena,Nesophrosyne,nuenue,"Kirkaldy, 1910",end,prob not,poss,poss,prob not,prob not,no,no,"female 4.5mm, male 4 mm",herbivore,herbivore,Dodonaea viscosa spathulata,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne nubigena,Nesophrosyne,oceanides,"Kirkaldy, 1910",end,poss,poss,Ola,poss,poss,no,no,4.5 mm,herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne ogradyi,Nesophrosyne,oreadis,"Kirkaldy, 1910",end,prob not,poss,poss,prob not,prob not,no,no,,herbivore,herbivore,"Wikstroemia oahuensis, Wikstroemia sp.",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne palolo,Nesophrosyne,pele,"Kirkaldy, 1910",end,poss,Kil,Ola,poss,poss,no,no,,herbivore,herbivore,"Melicope sp., Melicope hawaiiensis radiata",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne paludicola,Nesophrosyne,peleae,"Osborn, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne palustris,Nesophrosyne,perkinsi,"(Kirkaldy, 1904)",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne peleae,Nesophrosyne,pluvialis,"Kirkaldy, 1910",end,Kau,Kil,Ola,poss,poss,no,no,,herbivore,herbivore,"Coprosma sp., Coprosma rhynchocarpa, Coprosma menziesii ",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne perkinsi,Nesophrosyne,ponapona,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne procellaris,Nesophrosyne,silvicola,"Kirkaldy, 1910",end,Kau,Kil,Ola,poss,poss,no,no,female 5.5mm,herbivore,herbivore,"Metrosideros polymorpha, Psychotria hawaiiensis",,na,"middle, canopy",on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne signatula,Nesophrosyne,sinuata,"Osborn, 1935",end,poss,poss,Ola,opss,poss,no,no,5mm,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne silvicola,Nesophrosyne,touchardii,"Osborn, 1935",end,no,poss,poss,no,no,no,no,"female 3.75, male 3.5mm",herbivore,herbivore,Touchardia latifolia,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne silvigena,Nesophrosyne,ulaula,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,poss,no,female 5mm,herbivore,herbivore,Myrsine lessertiana,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne ulaula nigrolineata,Nesophrosyne,umbrigena,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,4.875-5mm,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne aakokohaikea,Nesophrosyne,aakokohaikea,"Bennett, 2011",end,Kau,Kil,poss,prob not,prob not,no,no,"female 5.51mm, male 4.06mm",herbivore,herbivore,Broussasia arguta,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne albicosta,Nesophrosyne,albicosta,"Osbom, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophryne alticola,Nesophrosyne,angulifera,"Osborn, 1935",end,no,no,no,no,no,Hal,no,"female 5mm, male 4-5mm",herbivore,herbivore,Coprosma sp.,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne angulifera,Nesophrosyne,bicolorata,"Osbom, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne bicolorata,Nesophrosyne,bobeae,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne bobeae,Nesophrosyne,broussaisiai,"Bennett, 2011",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne broussaisiai,Nesophrosyne,caelicola,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne caelicola,Nesophrosyne,cinerea,"Osbom, 1935",end,no,no,no,no,no,Hal,no,female 4.5mm,herbivore,herbivore,"Coprosma sp., Coprosma montana",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne craterigena,Nesophrosyne,cuprescens,"Osbom, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne ehu,Nesophrosyne,furculata,"Osborn, 1935",end,no,no,no,no,no,Hal,no,"female 3.75, male 3.5mm",herbivore,herbivore,"Lobelia sp., Coprosma sp., ",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne giffardi interrupta,Nesophrosyne,gouldiae,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne gouldiae,Nesophrosyne,haleakala,"Kirkaldy, 1910",end,no,no,no,no,no,prob not,no,3.5mm,herbivore,herbivore,"Coprosma montana, Coprosma sp., Vaccinium sp. ",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne haleakala,Nesophrosyne,halemanu,"Kirkaldy, 1910",end,no,no,no,no,no,no,poss,4.25mm,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne halemanu,Nesophrosyne,heopoko,"Bennett, 2011",end,no,no,no,no,no,no,KoK,"female 5.03mm, male 3.94mm",herbivore,herbivore,Broussasia arguta,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne insularis,Nesophrosyne,kanawao,"Bennett, 2011",end,no,no,no,no,Koh,no,no,"female 5.45mm, male 4.19mm",herbivore,herbivore,Broussasia arguta,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophryne kaiamamao,Nesophrosyne,kaupoi,"Bennett, 2011",end,no,no,no,no,no,poss,no,"female 5.75mm, male 4.18mm",herbivore,herbivore,Broussasia arguta,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne kaupoi,Nesophrosyne,lineata,"Osborn, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophryne kukanaroa,Nesophrosyne,magnaccai,"Bennett, 2011",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne lineata,Nesophrosyne,makaihe,"Bennett, 2011",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne magnaccai,Nesophrosyne,maritima,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne makaihe,Nesophrosyne,milu,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne marginalis,Nesophrosyne,monticola,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne montivaga,Nesophrosyne,nimbigena,"Kirkaldy, 1910",end,no,no,no,no,no,poss,no,,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne Myrsine sp.s,Nesophrosyne,notatula,"Osborn, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne nimbicola,Nesophrosyne,nubigena,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne notatula,Nesophrosyne,obliqua,"Osborn, 1935",end,no,no,no,no,no,poss,no,"female 4.5mm, male 4mm",herbivore,herbivore,"Coprosma montana, Sadleria sp. ",,na,"ground, middle",on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne nuenue,Nesophrosyne,ogradyi,"Bennett, 2011",end,no,no,no,no,no,Hal,no,,herbivore,herbivore,Broussasia arguta,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne obliqua,Nesophrosyne,oneanea,"Kirkaldy, 1910",end,no,no,no,no,no,Hal,no,,herbivore,herbivore,Coprosma sp.,Coprosma sp.     (big leaf),na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne oceanides,Nesophrosyne,opalescens,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne oneanea,Nesophrosyne,palolo,"Oshom, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne opalescens,Nesophrosyne,paludicola,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne oreadis,Nesophrosyne,palustris,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne pele,Nesophrosyne,pipturi,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne pipturi,Nesophrosyne,procellaris,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne pluvialis,Nesophrosyne,sanguinea,"Osborn, 1935",end,no,no,no,no,no,no,no,"female 4 mm, male 3.75mm",herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne ponapona,Nesophrosyne,signatula,"Osborn, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne sanguinea,Nesophrosyne,silvigena,"Kirkaldy, 1910",end,no,no,no,no,no,no,KoK,4.5-5.5mm,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne sinuata,Nesophrosyne,ulaula nigrolineata,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne touchardii,Nesophrosyne,umbratilis,"Kirkaldy, 1910",end,no,no,no,no,no,no,poss,4mm,herbivore,herbivore,"Microlepia strigosa, Hedyotis sp., Psychotria sp.",,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne ulaula,Nesophrosyne,umbricola,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne umbratilis,Nesophryne,alticola,"Namba, 1955",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne umbricola,Nesophryne,kaiamamao,"(Kirkaldy, 1902), Namba 1955",end,no,no,no,no,no,no,KoK,,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesophrosyne umbrigena,Nesophryne,kukanaroa,"(Kirkaldy, 1902), Namba 1955",end,no,no,no,no,no,no,KoK,,herbivore,herbivore,n.d.,,na,,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesorestias filicicola,Nesorestias,filicicola,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,4mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Cibotium sp.,other ferns,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesorestias nimbata,Nesorestias,nimbata,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,female 3mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Phegopteris sp.,,na,middle,on leaves or stems
HOMOPTERA,Cicadellidae,,,Nesosteles volcanicola,Nesosteles,volcanicola,"Kirkaldy, 1910",end,poss,Kil,poss,poss,Koh,poss,no,"female 2.5mm, male 2.25mm",herbivore,herbivore,Eragrostis sp. ,,na,ground,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne koae,Nesosydne,koae,"Kirkaldy, 1907",end,poss,poss,prob not,poss,prob not,Hal,KoK,"male 3.125mm, female 4mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Acacia koa ,(true leaves),na,canopy,on leaves
HOMOPTERA,Delphacidae,,,Nesosydne nesopele,Nesosydne,nesopele,"Muir, 1921",end,poss,poss,poss,poss,poss,Hal,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Astelia sp.,,na,"lower, middle",on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne pseudorubescens,Nesosydne,pseudorubescens,"Muir, 1919",end,prob not,poss,Ola,poss,prob not,Hal,no,"male 2.8mm, female 3mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Acacia koa ,(phyllodes),na,canopy,on phyllodes
HOMOPTERA,Delphacidae,,,Nesosydne aku,Nesosydne,aku,"Muir, 1921",end,poss,poss,Ola,poss,poss,no,no,"male 2.5mm, female 2.7mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Cyanea tritomantha,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne anceps,Nesosydne,anceps,"Muir, 1916",end,poss,Kil,Ola,poss,poss,no,no,male 2.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Freycinetia sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne chambersi,Nesosydne,chambersi,"Kirkaldy, 1908",end,prob not,prob not,prob not,prob not,prob not,no,no,male3.0- 3.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dubautia ciliolata,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne chenopodii,Nesosydne,chenopodii,"Zimmerman, 1952",end,prob not,prob not,prob not,prob not,prob not,no,no,"male 2-2.1mm, female 2.5-2.75",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Chenopodium sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne coprosmicola,Nesosydne,coprosmicola,"Muir, 1919",end,poss,poss,Ola,poss,prob not,no,no,"male 2.2mm, female 2.9mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Coprosma ernodeoides,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne cyrtandricola,Nesosydne,cyrtandricola,"Muir, 1918",end,poss,poss,Ola,poss,prob not,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Cyrtandra sp., Charpentiera sp.",,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne koaephyllodii,Nesosydne,koaephyllodii,"Muir, 1916",end,prob not,poss,prob not,poss,prob not,no,KoK,"male 2.2mm, female 3.3mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Acacia koa ,(phyllodes),na,canopy,on phyllodes
HOMOPTERA,Delphacidae,,,Nesosydne neoraillardiae,Nesosydne,neoraillardiae,"Muir, 1921",end,poss,poss,poss,poss,prob not,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Lipochaeta sp.,,na,lower,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne phyllostegiae,Nesosydne,phyllostegiae,"Muir, 1918",end,prob not,prob not,prob not,prob not,prob not,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Phyllostegia sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Nesosydne raillardiae,Nesosydne,raillardiae,"Kirkaldy, 1908",end,prob not,poss,poss,poss,prob not,no,no,male 3mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Dubautia scabra, Dubautia ciliolata",,na,"lower, middle",on leaves or stems
