Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)",6,order,notes,Ka,Oa,Mo,Ln,Kh,Ma,Ha,key?,Ku,Mi,Pe,Li,Ly,Ga,Fr,Ne,Na,Nu,Gu,Tu,Ta,Of,Ol,subfamily,tribe
HETEROPTERA,Miridae,,,Nesiomiris oahuensis,Nesiomiris,oahuensis,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5163,4872,,,Oa,,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris ohe,Nesiomiris,ohe,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5164,4873,,,Oa,,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris olapa,Nesiomiris,olapa,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5165,4874,,,,Mo,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris parasinuatus,Nesiomiris,parasinuatus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5168,4877,,,,,Ln,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris planatus,Nesiomiris,planatus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5170,4879,,,Oa,,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris spatulatus,Nesiomiris,spatulatus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5177,4886,,,,Mo,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris trifurcatus,Nesiomiris,trifurcatus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5181,4890,,,Oa,,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris uncinatus,Nesiomiris,uncinatus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5183,4892,,,Oa,,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris usingeri,Nesiomiris,usingeri,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5184,4893,,,,Mo,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris cheirodendronae,Nesiomiris,cheirodendronae,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 6.28 mm, female 6.8mm",herbivore,family is mostly herbivorous,"Cheirodendron fauriei, Cheirodendron  kavaiensis kavaiensis, Cheirodendron  helleri",,na,canopy,,5140,4849,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris mahu,Nesiomiris,mahu,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 6.38mm, female 6.18mm",herbivore,family is mostly herbivorous,Cheirodendron helleri multiflorum,,na,canopy,,5161,4870,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris legnotus,Nesiomiris,legnotus,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 4.93 mm, female 5.55mm",herbivore,family is mostly herbivorous,Cheirodendron helleri multiflorum,,na,canopy,,5156,4865,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris ehu,Nesiomiris,ehu,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 5.97mm, female 6.19mm",herbivore,family is mostly herbivorous,"Cheirodendron helleri multiflorum, Cheirodendron cauaiense kauaiense",,na,canopy,,5145,4854,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris lineatus,Nesiomiris,lineatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 6.8mm, female 6.8mm",herbivore,family is mostly herbivorous,"Cheirodendron helleri, Cheirodendron kauaiense, Cheirodendron kauaiense forbsii, Cheirodendron kauaiense kauaiense",,na,canopy,,5159,4868,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris lapalapa,Nesiomiris,lapalapa,"Gagne, 1997",end,no,no,no,no,no,no,prob not,male 5.15 mm,herbivore,family is mostly herbivorous,"Cheirodendron helleri, Cheirodendron kauaiense, Cheirodendron kauaiense forbsii, Cheirodendron kauaiense kauaiense",,na,canopy,,5155,4864,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris kauilamahu,Nesiomiris,kauilamahu,"Gagne, 1997",end,no,no,no,no,no,no,prob not,male 4.93 mm,herbivore,family is mostly herbivorous,"Cheirodendron helleri, Cheirodendron kauaiense, Cheirodendron kauaiense forbsii, Cheirodendron kauaiense kauaiense",,na,canopy,,5151,4860,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris kraussi,Nesiomiris,kraussi,"Gagne, 1997",end,no,no,no,no,no,poss,no,"male 5.25mm, female 5.85mm",herbivore,family is mostly herbivorous,Cheirodendron trigynum,,na,canopy,,5153,4862,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris rufonotus,Nesiomiris,rufonotus,"Gagne, 1997",end,no,no,no,no,no,poss,no,"male 5.05 mm, female 5.15mm",herbivore,family is mostly herbivorous,Cheirodendron trigynum,,na,canopy,,5173,4882,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris reductus,Nesiomiris,reductus,"Gagne, 1997",end,no,no,no,no,no,prob not,no,male 6.13mm,herbivore,family is mostly herbivorous,Cheirodendron trigynum confertiflorum,,na,canopy,,5171,4880,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris sinuatus,Nesiomiris,sinuatus,"Gagne, 1997",end,no,no,no,no,no,prob not,no,"male 6.5mm, female 7.21mm",herbivore,family is mostly herbivorous,Cheirodendron trigynum confertiflorum,,na,canopy,,5176,4885,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris swezeyi,Nesiomiris,swezeyi,"Gagne, 1997",end,no,no,no,no,no,Hal,no,"male 6.18mm, female 6.5mm",herbivore,family is mostly herbivorous,"Cheirodendron trigynum confertiflorum, Astelia veratroides, Tetraplasandra meiandra polystigmata",,na,canopy,,5178,4887,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris cheliferus,Nesiomiris,cheliferus,"Gagne, 1997",end,no,no,no,no,no,poss,no,"male 7.01 mm, female 7.32 mm",herbivore,family is mostly herbivorous,Cheirodendron trigynum,possibly Reynoldsia sandwicensis,na,canopy,,5141,4850,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris byroniae,Nesiomiris,byroniae,"Gagne, 1997",end,no,no,no,no,no,poss,no,"male 7.02 mm, female 7.02 mm",herbivore,family is mostly herbivorous,Ilex anomala,,na,middle,on leaves or stems,5139,4848,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris kawau,Nesiomiris,kawau,"Gagne, 1997",end,no,no,no,no,no,Hal,no,"male 6.18mm, female 6.6mm",herbivore,family is mostly herbivorous,Ilex anomala,,na,middle,on leaves or stems,5152,4861,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris mauiensis,Nesiomiris,mauiensis,"Gagne, 1997",end,no,no,no,no,no,prob not,no,"male 5.58mm, female 6.2mm",herbivore,family is mostly herbivorous,Ilex anomala,,na,middle,on leaves or stems,5162,4871,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris elongatus,Nesiomiris,elongatus,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 6.86mm, female 6.91mm",herbivore,family is mostly herbivorous,"Munroidendron racemosum, Tetraplasandra kavaiensis",Tetraplasandra kavaiensis (=Pterotropia sp.),na,middle,on leaves or stems,5146,4855,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris maculatus,Nesiomiris,maculatus,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 5.67mm, female 6.26mm",herbivore,family is mostly herbivorous,"Pterotropia sp., Tetraplasandra kavaiensis koloana",,na,middle,on leaves or stems,5160,4869,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris curvipes,Nesiomiris,curvipes,"Gagne, 1997",end,no,no,no,no,no,prob not,no,"male 6.8mm, female 6.6mm",herbivore,family is mostly herbivorous,Tetraplasandra hawaiiensis gracilis,,na,Tetraplasandra,on leaves or stems,5144,4853,,,,Mo,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris pallidus,Nesiomiris,pallidus,"Gagne, 1997",end,no,no,no,no,no,poss,no,"male 5.77mm, female 6.11mm",herbivore,family is mostly herbivorous,Tetraplasandra hawaiiensis gracilis,,na,Tetraplasandra,on leaves or stems,5167,4876,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris trinesiotes,Nesiomiris,trinesiotes,"Gagne, 1997",end,no,no,no,no,no,prob not,no,"male 6.45mm, female 6.4 mm",herbivore,family is mostly herbivorous,"Tetraplasandra hawaiiensis gracilis, Tetraplasandra meiandra ramosior, Reynoldsia sandwicensis",,na,Tetraplasandra,on leaves or stems,5182,4891,,,,Mo,Ln,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris fasciatus,Nesiomiris,fasciatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 6.61mm, female 7.21mm",herbivore,family is mostly herbivorous,Tetraplasandra kavaiensis koloana,,na,Tetraplasandra,on leaves or stems,5147,4856,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris lihuensis,Nesiomiris,lihuensis,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 7.27mm, female 7.58mm",herbivore,family is mostly herbivorous,Tetraplasandra lihuensis,,na,Tetraplasandra,on leaves or stems,5157,4866,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris bifurcatus,Nesiomiris,bifurcatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 5.97mm, female 6.4mm",herbivore,family is mostly herbivorous,Tetraplasandra meiandra,,na,Tetraplasandra,on leaves or stems,5138,4847,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris seminotatus,Nesiomiris,seminotatus,"Gagne, 1997",end,no,no,no,no,no,no,prob not,"male 5.66mm, female 5.96mm",herbivore,family is mostly herbivorous,Tetraplasandra meiandra,,na,Tetraplasandra,on leaves or stems,5175,4884,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris curvatus,Nesiomiris,curvatus,"Gagne, 1997",end,no,no,no,no,no,Hal,no,"male 6.81-7.17mm, female 6.86-7.45mm",herbivore,family is mostly herbivorous,"Tetraplasandra meiandra, Tetraplasandra meiandra ovalis",,na,Tetraplasandra,on leaves or stems,5143,4852,,,,,,,Ma,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris tetraplasandrae,Nesiomiris,tetraplasandrae,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 7.57mm, female 7.53mm",herbivore,family is mostly herbivorous,Tetraplasandra waimeae,Tetraplasandra sp. (probably waimeae),na,Tetraplasandra,on leaves or stems,5179,4888,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris waimeae,Nesiomiris,waimeae,"Gagne, 1997",end,no,no,no,no,no,no,KoK,"male 6.5 mm, female 6.6 mm",herbivore,family is mostly herbivorous,Tetraplasandra waimeae waimeae,,na,Tetraplasandra,on leaves or stems,5185,4894,,Ka,,,,,,,"Gagne, 1997",,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Nesiomiris restrictus,Nesiomiris,restrictus,"Gagne, 1997",end,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems,5172,4881,,,Oa,,,,,,"Gagne, 1997 BMBE",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesoclimacias contracta,Nesoclimacias,contracta,"Blackburn, 1888",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5024,4743,,,Oa,Mo,,,,,"(Blackburn, 1888)",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesoclimacias lanaiensis,Nesoclimacias,lanaiensis,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5025,4744,,,,Mo,Ln,,Ma,,"Usinger & Ashlock, 1959",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesocryptias villosa,Nesocryptias,villosa,"White, 1878",end,no,no,no,no,no,no,poss,"male 5.3 mm, female 6.0 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Freycinetia sp., Byronia sp., Myoporum sp.",,na,ground,decaying veg and damp ground litter in forests,5029,4748,,Ka,Oa,,,,Ma,Ha,"Usinger & Ashlock, 1959",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesocryptias xiopsis,Nesocryptias,xiopsis,"Usinger & Ashlock, 1959",end,prob not,prob not,prob not,prob not,prob not,prob not,no,"male 5.4mm, female 5.4 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,5030,4749,,,,,,,Ma,Ha,"Usinger & Ashlock, 1959",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesocryptias comis,Nesocryptias,comis,"Ashlock, 1966",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5027,4746,,,,Mo,,,,,"Ashlock, 1966",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesocryptias oahuensis,Nesocryptias,oahuensis,"Usinger & Ashlock, 1959",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5028,4747,,,Oa,,,,,,"Usinger & Ashlock, 1959",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesocryptias adamsoni,Nesocryptias,adamsoni,"Usinger & Ashlock, 1959",end,no,no,no,no,no,no,KoK,"male 5.9 mm, female 6.4 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Osmanthus sp.,,na,middle,,5026,4745,,Ka,,,,,,,"Usinger & Ashlock, 1959",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesocymus calvus,Nesocymus,calvus,"White, 1881",end,no,no,no,no,no,no,no,female 5mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5031,4750,,Ka,Oa,Mo,,,,Ha,Zimmerman 1948,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesodryas swezeyi,Nesodryas,swezeyi,"Zimmerman, 1948",end,poss,poss,poss,poss,poss,no,no,5-6mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Pritchardia sp.,,na,middle,on leaves or stems,5815,5483,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesodryas Freycinetia sp.e,Nesodryas,Freycinetia sp.e,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,"male, female 4-4.5mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Freycinetia sp.,,na,middle,on leaves or stems,5814,5482,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesolina lineata,Nesolina,lineata,"Osbom, 1935",end,prob not,prob not,no,no,no,no,no,"female 2.75, male 2.25-2.5",herbivore,herbivore,n.d.,"""bunch grass:",na,ground,on leaves or stems,5595,5267,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nesomartis psammophila,Nesomartis,psammophila,"Kirkaldy, 1907",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5032,4751,,Ka,,,,,Ma,Ha,Zimmerman 1948,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne affinis,Nesophrosyne,affinis,"Osbom, 1935",end,poss,poss,Ola,poss,poss,no,no,"female 4mm, male 3.75mm",herbivore,herbivore,n.d.,,na,,on leaves or stems,5596,5268,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne cinerea,Nesophrosyne,comma,"Osborn, 1935",end,prob not,Kil,prob not,prob not,prob not,no,no,"female 4mm, male 3.5mm",herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems,5603,5275,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne comma,Nesophrosyne,craterigena,"Kirkaldy, 1910",end,prob not,poss,prob not,prob not,prob not,no,no,4.5mm,herbivore,herbivore,"Coprosma sp., Coprosma rhynchocarpa",,na,middle,on leaves or stems,5604,5276,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne cuprescens,Nesophrosyne,eburneola,"Osbom, 1935",end,Kau,poss,Ola,poss,poss,no,no,female 3.5mm,herbivore,herbivore,"Antidesma platyphyllum, Myoporum sandwicense, Psychotria hawaiiensis",,na,middle,on leaves or stems,5606,5278,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne eburneola,Nesophrosyne,ehu,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,poss,poss,4mm,herbivore,herbivore,n.d.,,na,,on leaves or stems,5607,5279,,,,,,,Ma,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne furculata,Nesophrosyne,giffardi,"Kirkaldy, 1910",end,poss,Kil,poss,poss,prob not,no,no,"female 4.5mm, male 4mm",herbivore,herbivore,Myoporum sandwicense,,na,middle,on leaves or stems,5609,5281,,,Oa,,Ln,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne giffardi,Nesophrosyne,giffardi interrupta,"Osborn, 1935",end,poss,Kil,poss,poss,prob not,no,no,"female 4.5mm, male 4mm",herbivore,herbivore,Myoporum sandwicense,,na,middle,on leaves or stems,5610,5282,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne heopoko,Nesophrosyne,ignigena,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,female 4.75mm,herbivore,herbivore,"Pittosporum longifolia, Pittosporum hosmeri",,na,middle,on leaves or stems,5614,5286,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne ignigena,Nesophrosyne,imbricola,"Kirkaldy, 1910",end,no,no,no,no,no,prob not,no,,herbivore,herbivore,Myrsine lessertiana,,na,middle,on leaves or stems,5615,5287,,,,,Ln,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne imbricola,Nesophrosyne,insularis,"Kirkaldy, 1910",end,poss,poss,Olaa,poss,poss,no,no,4mm,herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems,5616,5288,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne kanawao,Nesophrosyne,koleae,"Kirkaldy, 1910",end,prob not,prob not,prob not,prob not,prob not,no,no,female 4.5mm,herbivore,herbivore,n.d.,"""dry forest""",na,,on leaves or stems,5617,5289,,Ka,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne koleae,Nesophrosyne,mabae,"Osborn, 1935",end,prob not,prob not,prob not,prob not,prob not,no,no,"female 4-5mm, male 4.25mm",herbivore,herbivore,Diospyros sandwicensis,,na,middle,on leaves or stems,5619,5291,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne mabae,Nesophrosyne,marginalis,"Osborn, 1935",end,prob not,Kil,prob not,prob not,prob not,no,no,"female 4mm, male 4mm",herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems,5620,5292,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne maritima,Nesophrosyne,montium,"Kirkaldy, 1910",end,poss,poss,poss,poss,poss,no,no,"female 4mm, male 3.5mm",herbivore,herbivore,Pipturus albidus,,na,middle,on leaves or stems,5624,5296,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne milu,Nesophrosyne,montivaga,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,"female 4mm, male 3.75mm",herbivore,herbivore,Pipturus albidus,,na,middle,on leaves or stems,5625,5297,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne monticola,Nesophrosyne,Myrsine sp.s,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,4.5mm,herbivore,herbivore,"Coprosma pubens, Sadleria sp., Myrsine sp.",,na,"ground, middle",on leaves or stems,5626,5298,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne montium,Nesophrosyne,nimbicola,"Kirkaldy, 1910",end,no,no,no,no,no,poss,no,,herbivore,herbivore,Myrsine lessertiana,,na,middle,on leaves or stems,5627,5299,,,Oa,,Ln,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne nimbigena,Nesophrosyne,nuenue,"Kirkaldy, 1910",end,prob not,poss,poss,prob not,prob not,no,no,"female 4.5mm, male 4 mm",herbivore,herbivore,Dodonaea viscosa spathulata,,na,middle,on leaves or stems,5631,5303,,,,,Ln,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne nubigena,Nesophrosyne,oceanides,"Kirkaldy, 1910",end,poss,poss,Ola,poss,poss,no,no,4.5 mm,herbivore,herbivore,Psychotria hawaiiensis,,na,middle,on leaves or stems,5633,5305,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne ogradyi,Nesophrosyne,oreadis,"Kirkaldy, 1910",end,prob not,poss,poss,prob not,prob not,no,no,,herbivore,herbivore,"Wikstroemia oahuensis, Wikstroemia sp.",,na,middle,on leaves or stems,5636,5308,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne palolo,Nesophrosyne,pele,"Kirkaldy, 1910",end,poss,Kil,Ola,poss,poss,no,no,,herbivore,herbivore,"Melicope sp., Melicope hawaiiensis radiata",,na,middle,on leaves or stems,5640,5312,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne paludicola,Nesophrosyne,peleae,"Osborn, 1935",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems,5641,5313,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne palustris,Nesophrosyne,perkinsi,"(Kirkaldy, 1904)",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems,5642,5314,,,Oa,Mo,Ln,,Ma,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne peleae,Nesophrosyne,pluvialis,"Kirkaldy, 1910",end,Kau,Kil,Ola,poss,poss,no,no,,herbivore,herbivore,"Coprosma sp., Coprosma rhynchocarpa, Coprosma menziesii ",,na,middle,on leaves or stems,5644,5316,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne perkinsi,Nesophrosyne,ponapona,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,,herbivore,herbivore,,,na,,on leaves or stems,5645,5317,,Ka,Oa,Mo,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne procellaris,Nesophrosyne,silvicola,"Kirkaldy, 1910",end,Kau,Kil,Ola,poss,poss,no,no,female 5.5mm,herbivore,herbivore,"Metrosideros polymorpha, Psychotria hawaiiensis",,na,"middle, canopy",on leaves or stems,5649,5321,,,,,Ln,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne signatula,Nesophrosyne,sinuata,"Osborn, 1935",end,poss,poss,Ola,opss,poss,no,no,5mm,herbivore,herbivore,n.d.,,na,,on leaves or stems,5651,5323,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne silvicola,Nesophrosyne,touchardii,"Osborn, 1935",end,no,poss,poss,no,no,no,no,"female 3.75, male 3.5mm",herbivore,herbivore,Touchardia latifolia,,na,middle,on leaves or stems,5652,5324,,,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
HOMOPTERA,Cicadellidae,,,Nesophrosyne silvigena,Nesophrosyne,ulaula,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,poss,no,female 5mm,herbivore,herbivore,Myrsine lessertiana,,na,middle,on leaves or stems,5653,5325,,,Oa,,,,Ma,Ha,,,,,,,,,,,,,,,,,,
