Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)",6,order,notes,Ka,Oa,Mo,Ln,Kh,Ma,Ha,key?,Ku,Mi,Pe,Li,Ly,Ga,Fr,Ne,Na,Nu,Gu,Tu,Ta,Of,Ol,subfamily,tribe
HETEROPTERA,Lygaeidae,,,Geocoris pallens,Geocoris,pallens,"Stal, 1854",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Ipomoea sp., Sophora sp., Sprobolus sp., Vitex sp.","bunch grass, ",na,"lower, middle",,4969,4691,,Ka,Oa,,,,,Ha,Zimm 1948,,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Lygaeidae,,,Geocoris punctipes,Geocoris,punctipes,"Say, 1832",adv,no,no,no,no,no,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Atriplex semibaccata, Cynodon dactylon, Ilex sandwicensis, Portulaca sp.",,na,"lower, middle",,4970,4692,,Ka,Oa,Mo,,,,,Zimm 1948,,,,,,,,,Na,Nu,,,,,,,
HETEROPTERA,Cydnidae,,,Geotomus pygmaeus,Geotomus,pygmaeus,"Dallas, 1851",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,?,herbivore,herbivore? Bufo marinus eats them. ,Paspalum fimbriatum,"""bases of plants and in humus and loose earth. I have found the insects feeding in abundance at the roots of the grass Paspalum fimbriatum, and they are commonly taken under such objects as boards, stones and cow chips lying on the ground"" Zimmerman 1948",na,ground,"soil, litter",4955,4677,,Ka,Oa,Mo,Ln,,Ma,Ha,Froeschner 1976,,Mi,Pe,,Ly,,,,Na,,,,,,,,
HETEROPTERA,Lygaeidae,,,Graptostethus manillensis,Graptostethus,manillensis,"Stal, 1859",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,4974,4696,,Ka,Oa,,Ln,,Ma,Ha,see Sweezy 1945: 335 under the name servus for local information,,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Miridae,,,Halticus bractatus,Halticus,bractatus,"Say, 1831",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems,5127,4836,,,,,,,,Ha,guess,,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Halticus chrysolepis,Halticus,chrysolepis,"Kirkaldy, 1904",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems,5128,4837,,Ka,Oa,Mo,,,,Ha,guess,,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Heterotoma merioptera,Heterotoma,merioptera,"Scopoli, 1763",adv,no,no,no,no,no,no,KoK,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems,5129,4838,,Ka,,,,,,,na,,,,,,,,,,,,,,,,,
HETEROPTERA,Rhopalidae,,,Jadera haematoloma,Jadera,haematoloma,"Herrich-Schaeffer, 1847",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,seed feeder,n.d.,Sapindaceae,na,middle,,5412,5104,,Ka,Oa,,,,,Ha,guess,,,,,,,,,,,,,,,,,
HOMOPTERA,Derbidae,,,Lamenia caliginea,Lamenia,caliginea,"Still, 1854",adv,no,no,no,no,no,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Musa sp., Mangifera indica, Morinda citrifolia, Colocasia esculenta, Colocasia gigantea  ","banana, mango, Morinda citrifolia, taro",na,middle,on leaves or stems,5956,5602,,Ka,,,,,,,,,,,,,,,,,,,,,,,,
HETEROPTERA,Tingidae,,,Leptodictya tabida,Leptodictya,tabida,"Herrich-Schaeffer, 1840",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,herbivorous,Saccharum officinarum,sugarcane,na,middle,,5429,5118,,Ka,Oa,Mo,,,Ma,Ha,"guess, as this is a sugarcne feeder",,,,,,,,,,,,,,,,,
